ds;y
2017-12-12;10143
2017-12-13;10700
2017-12-14;10886
2017-12-15;10198
2017-12-16;560
2017-12-17;436
2017-12-18;11406
2017-12-19;9996
2017-12-20;10307
2017-12-21;10190
2017-12-22;9547
2017-12-23;543
2017-12-24;535
2017-12-25;11171
2017-12-26;11358
2017-12-27;11267
2017-12-28;10966
2017-12-29;8439
2017-12-30;629
2017-12-31;147
2018-01-01;104
2018-01-02;227
2018-01-03;381
2018-01-04;727
2018-01-05;691
2018-01-06;388
2018-01-07;311
2018-01-08;994
2018-01-09;2721
